Question,Correct Answer,Type,Option 1,Rationale 1,Option 2,Rationale 2,Option 3,Rationale 3,Option 4,Rationale 4,Syllabus Ref
"A service provider plans to launch a number of mobile phone apps into a new but volatile market where speed to market and regular enhancements are essential to build competitive advantage. 
 
 What contribution is made by the 'software development and management' practice to achieving this advantage?",Leveraging infrastructure as code to support the need to make rapid changes to the apps,MCQ,Analysing and documenting user requirements to ensure that their expectations are met,"Incorrect. This is how the ‘business analysis’ practice contributes to the ""fast
development"" objective. ""Understanding consumer needs and translating them into
detailed requirements for each component…"" Ref 4.2.2, tab 4.6",Leveraging infrastructure as code to support the need to make rapid changes to the apps,"Correct. The ‘software development and management’ practice should be
involved in deciding the approach taken to developing software quickly and reliably.
The software development and management practice success factor ""agree and
improve an organization's approach to development and management of software"",
""concerns itself with the tactical decision to select from this pre-defined set of
approaches, the best approach for each software product, based on the
organization's requirements for the product"". The ‘software development and
management’ practice contributes to fast development by ""Developing software
architecture and code to leverage fast delivery/provisioning of virtual hardware
infrastructure"". Ref 4.2.1, tab 4.5, Software Development and Management Practice
Guide 2.4.1",Ensuring that the Ôdefinition of doneÕ includes non-functional requirements to reduce the likelihood that the apps will fail in the live environment,"Incorrect. This is how the ‘software development and management’ practice
contributes to the ""resilient operations"" objective. ""Software can be developed (or
configured) to meet a definition of done before it is deployed into live environments,
ensuring that code is understandable, maintainable, and ready to support future
changes"". Ref 4.3.3, tab 4.16",Prioritizing the requirements so that the expenditure used to develop the mobile apps provides the appropriate return on investment,"Incorrect. This answer refers to how the ‘software development and
management’ practice contributes to ‘valuable investments’, not fast
development. The ‘software development and management’ practice contributes to
valuable investment by ""Using a ‘minimum viable’ approach as a decision-making
tool to prioritize work on software features"". Ref 4.1.2, tab 4.2",4.4.g 
"An organization has been experiencing outages which have mainly been attributed to the age of its technology and the fact that many components are several versions behind what is supported by the vendor. 
 
 Which practice includes guidance to help remedy this type of technical debt?",Infrastructure and platform management,MCQ,Monitoring and event management,"Incorrect. ""The purpose of the monitoring and event management practice is to
systematically observe services and service components, and record and report
selected changes of state identified as events."" Ref Monitoring and Event
Management Practice Guide 2.1",Infrastructure and platform management," Correct. The ‘infrastructure and platform management’ practice includes
“Identifying and reducing technical debt by creating or modifying infrastructure and
platform service components."" Ref 4.3.1, tab 4.14",Service desk,"Incorrect. The purpose of the ‘service desk’ practice includes capturing incident
demand and engaging with users. “Communicating with external users who need
assistance with incidents and requests requires knowledge of existing technical debt
and efforts planned to resolve it."" Ref 4.3.1, tab 4.14, Service Desk Practice Guide
2.1",Incident management,"Incorrect. ""The purpose of the incident management practice is to minimize the
negative impact of incidents by restoring normal service operation as quickly as
possible."" Ref Incident Management Practice Guide 2.1",4.6.f
"An organization has found that poor website speed is having an impact on customer experience and is causing the organization to lose sales. The organization has challenged the IT department to remedy the matter prior to the launch of a new marketing campaign. 
 
 Which is the BEST technique that the capacity and performance management practice can consider to address this problem?",AIOps,MCQ,ChatOps,"Incorrect. Although ChatOps can be used to improve collaboration during
incidents, it is, in this context, a reactive approach. “ChatOps is a model in which
people, tools, process, and automation are connected in a transparent flow.” Ref
4.3.6",Site reliability engineering (SRE),"Incorrect. This approach is useful, but it is not the BEST approach as it is less
proactive and does not take into consideration the need for capacity planning
relative to the marketing campaigns. “Improving monitoring in order to better
understand the system when things go wrong.” Ref 4.3.7, tab 4.20",AIOps,"Correct. This approach recommends proactive monitoring and also takes into
consideration the need for capacity planning relative to the marketing campaigns.
“AIOps platforms are used to enhance and partially replace many primary IT
operations functions, such as availability and performance monitoring, failure
recognition, predictive analysis, and event correlation and analysis.” “AIOps
provides capabilities for identifying patterns and anomalies, determining the capacity
and utilization of assets, and planning the capacity of future products or services.”
Ref 4.3.5, tab 4.18",Chaos engineering,"Incorrect. This approach is useful, but it is not the BEST approach as it does not
recommend doing anything with the information and does not take into
consideration the need for capacity planning relative to the marketing campaigns.
“When running this type of test, performance information should be captured. As a
result, improvements should be identified that will ensure services are designed for
optimum performance, scalability, and capacity.” Ref 4.3.2, tab 4.15",4.6.b 
"An organization uses cost of delay to prioritize a backlog. Only one of four items can be included in the next sprint. 
 
 Which item should be included?","If item B is delayed: there will be a direct cost of £800, an indirect cost of about £3000, and a major non-financial impact on future development efforts",MCQ,"If item A is delayed: there will be a direct cost of £1000, an indirect cost of about £2000, and a major non-financial impact on future development efforts","Incorrect. The financial cost of delay should include both direct and indirect costs,
and the total cost of delay for B (£3,800) is more than for A (£3,000). ""Some delays
may bring loss indirectly"". Ref Portfolio Management Practice Guide 2.4.1","If item B is delayed: there will be a direct cost of £800, an indirect cost of about £3000, and a major non-financial impact on future development efforts","Correct. Both financial and non-financial costs should be considered, and 'A
major non-financial impact' should be prevented by selecting A or B. The financial
cost of delay should include both direct and indirect costs, and the total cost of delay
for B (£3,800) is more than for A (£3,000). ""This technique assesses the financial
and non-financial benefits that are (expected to be) lost when the task execution is
delayed"" and ""Some delays may bring loss indirectly"". Ref Portfolio Management
Practice Guide 2.4.1","If item C is delayed: there will be a direct cost of £1200, an indirect cost of about £2000, but no significant non-financial impact"," Incorrect. Both financial and non-financial costs should be considered and 'A
major non-financial impact' should be prevented by selecting A or B. ""This technique
assesses the financial and non-financial benefits that are (expected to be) lost when
the task execution is delayed"". Ref Portfolio Management Practice Guide 2.4.1","If item D is delayed: there will be a direct cost of £1000, an indirect cost of about £3000, but no significant non-financial impact","Incorrect. Both financial and non-financial costs should be considered and 'A
major non-financial impact' should be prevented by selecting A or B. ""This technique
assesses the financial and non-financial benefits that are (expected to be) lost when
the task execution is delayed"". Ref Portfolio Management Practice Guide 2.4.1",4.2.a 
Which TWO of the service value chain activities are the MOST closely related to the high-velocity IT objective of 'fast development'?,Obtain/build' and 'design and transition',MCQ,Obtain/build' and 'design and transition',"Correct. ""The fast development objective is mainly achieved by the application
development and infrastructure engineering that takes place as part of the design
and transition and obtain/build value chain activities"". Ref 2.5.1",Design and transition' and 'deliver and support',"Incorrect. ‘Design and transition’ is a value chain activity helping to achieve fast
development, however ‘deliver and support’ is not. ""The fast development objective
is mainly achieved by the application development and infrastructure engineering
that takes place as part of the design and transition and obtain/build value chain
activities."" Ref 2.5.1",Deliver and support' and 'obtain/build',"Incorrect. ‘Obtain/build’ is a correct value chain activity associated to fast
development, however ‘deliver and support’ is not. ""The fast development objective
is mainly achieved by the application development and infrastructure engineering
that takes place as part of the design and transition and obtain/build value chain
activities."" Ref 2.5.1",Design and transition' and 'resilient operations',"Incorrect. ‘Resilient operations’ is not a service value chain activity, it is one of
the HVIT objectives. Ref 2.5.1",1.3.b 
Which statement is CORRECT when considering a transformation to high-velocity IT?,It is acceptable to take risks which may lead to competitive advantage,MCQ,It is acceptable to take risks which may lead to competitive advantage,"Correct. ""...there may be situations where risks are consciously taken in order to
gain or retain competitive advantage."" Ref 2.1",High-velocity IT focuses on using data to improve the performance of physical devices,"Incorrect. This activity is more associated with operational technology, which is
""The application of digital technology for detecting or causing changes in physical
devices through monitoring and/or control."" Ref 2.2.2",The impact on the culture of the organization does not need to be considered,"Incorrect. There might be an impact on the culture of the organization, because
organizations ""may choose not to try to increase velocity because they think the
amount of cultural change involved would be too difficult to achieve, or unlikely to
generate an acceptable return on investment."" Ref 2.1",Risks can be minimized by making a significant change rather than incremental improvements,"Incorrect. ""Increasing velocity within an organization will always involve costs and
risks, particularly when there is a steep change rather than gradual improvement"".
Ref 2.1",1.2
"An employee has some concerns at work but does not share this information with others because they fear that this would damage their reputation and position. 
 
 What is PRIMARILY concerned with preventing this situation?",Safety culture,MCQ,Design thinking,"Incorrect. 'Design thinking' refers to the ""cognitive and practical processes by
which design concepts are developed”. Ref 3.2.1.2",Integration of duties,"Incorrect. 'Integration of duties' is ""Having a task that is prone to fraud or error
performed by one person because other controls have been applied. This serves as
an alternative to separation (or segregation) of duties.” Ref 4.5.2",Safety culture,"Correct. 'Safety culture' is a climate in which people are comfortable being (and
expressing) themselves. In such a culture, people ""are therefore more likely to point
out risks than when they fear that this would damage their reputation and position.”
Ref 3.2.2.2",Toyota Kata,"Incorrect. 'Toyota Kata' is ""A mental model and behaviour pattern for scientific
thinking and routines for practice and coaching.” Ref 3.2.3.3",3.1.b
"A service provider has recently adopted a high-velocity IT approach using agile software development. The time taken to deliver new functionality has decreased rapidly, however the related services have experienced a sharp increase in interruptions caused by incidents. 
 
 Which is the BEST action to take to address these issues?",Extend the Ôdefinition of doneÕ to include the fulfillment of operational non-functional requirements,MCQ,Improve prioritization to ensure that investments are used to develop the most urgent functional requirements,"Incorrect. This answer focuses on the functional requirements and supports the
high velocity objective ‘valuable investments’. Instead the organization should focus
on the objective ‘resilient operations’. ""Techniques that can be used to achieve
valuable investments include: ...prioritization techniques"". Ref 4.1",Revert to a waterfall software development approach until the cause of the issues is identified,"Incorrect. The question implies that more focus is required on the high velocity
objective ’resilient operations’, not reverting to old ways. Reverting to old methods of
development is a backward step and cannot be guaranteed to resolve the issues.
More attention should be given to the resilience and performance requirement of the
software. ""The scope of the resilient operations objective includes ensuring that
digital products are available for use whenever needed"". Ref 4.3",Increase collaboration with the service consumer in order to focus more attention on how value is co-created,"Incorrect. This answer focuses on the high velocity objective ‘co-created
value’. Instead the organization should focus on the objective ‘resilient operations’.
""The scope of the co-created value objective includes co-creating value from digital
products through the close collaboration of the service provider and the service
consumer"". Ref 4.4",Extend the Ôdefinition of doneÕ to include the fulfillment of operational non-functional requirements,"Correct. From the question it can be seen that more focus is required on the high
velocity objective ‘resilient operations’. Extending the ‘definition of done’ to include
resilience requirements is a good way to enhance the agile approach and address
the operational issues. ""A definition of done describes criteria that are related to the
functionality that contributes to a product’s or service’s utility, and the non-functional
requirements that contribute to its warranty. These non-functional requirements
should be defined and agreed with whoever is responsible for operations. A
definition of done that includes non-functional requirements therefore contributes to
resilient operations and to value co-created through improved usability, and also to
faster development because less rework is needed"". Ref 4.3.3",4.5
"Recently, there have been errors in a business-critical service which have led to incidents. Support teams have used a variety of resolutions to try to restore service. Some of the resolutions have led to further incidents. 
 
 Which activity should be employed in the future to reduce the amount of technical debt created by these resolutions?",Perform problem analysis to understand the cause(s) of the incidents and then propose a more effective workaround than the resolutions used by the service desk,MCQ,Perform problem analysis to understand the cause(s) of the incidents and then propose a more effective workaround than the resolutions used by the service desk,"Correct. This is an example of ""Applying problem control and error control
methods to manage technical debt."" Ref 4.3.1, tab 4.14","Use chaos engineering tools to proactively identify problems, so that the organization can use redundancy in the most effective way","Incorrect. The use of chaos engineering tools in this way would not address the
situation in the question, which is concerned with reducing technical debt because
of poor quality incident resolutions. Ref 4.3.1, tab 4.14",Route all incidents of this type directly to a specialist problem control team to enable a swift problem diagnosis and resolution,"Incorrect. Despite the attempts to prevent any more incidents from happening
and therefore reducing technical debt, incidents should still be resolved. Incident
escalation should support incident resolution. Ref 4.3.1, tab 4.14",Analyse the incident resolutions to find the most successful and use that resolution as the basis of a request for change,"Incorrect. The incident resolutions are not derived from a thorough understanding
of the outages and should not be the basis of a permanent change. The resolutions
also do not fix the errors. Such a change might not prevent any further technical
debt from occurring. Ref 4.3.1, tab 4.14",4.6.d 
"Which high-velocity IT objective involves researching new products and services, and continuously evaluating existing products and services?",Valuable investments,MCQ,Valuable investments,"Correct. The ‘valuable investments’ objective involves identifying and justifying
digital investments. “New digital products and services should be envisaged and
evaluated in terms of profitability”, and “It is also important to continually evaluate
investments after they have been justified and approved, because more valuable
options for investment may exist.” Ref 4.1",Fast development,"Incorrect. ‘Fast development’ involves realizing “new and improved digital
products and services frequently, quickly, and reliably.” Ref 4.2",Resilient operations,"Incorrect. ‘Resilient operations’ involve ensuring “that digital products are
available for use whenever needed.” Ref 4.3",Assured conformance,"Incorrect. ‘Assured conformance’ involves assuring “that service provision and
service consumption comply with corporate and regulatory directives with respect to
governance, risk, and compliance.” There is no reference to corporate and
regulatory directives in this question. Ref 4.5",1.3.a 
"A service provider is developing an application for a new service consumer. During a prototyping session with potential users conflicting requirements were identified that could increase the cost of the application and threaten its viability. 
 
 Which practice would BEST help to prioritize the conflicting requirements?",Relationship management,MCQ,Relationship management,"Correct. The ‘relationship management’ practice is best placed to liaise with all
stakeholders to resolve conflict and prioritize requirements. The relationship
management practice contributes to valuable investments by ""Involvement in
establishing customers’ priorities for new or changed products and services."" and
""Involvement in addressing complaints and mediating conflicting requirements"". Ref
4.1.3, tab 4.3",Service validation and testing,"Incorrect. The ‘service validation and testing’ practice supports the ‘valuable
investment’ objective by checking that components support the minimum viable
product. It cannot resolve conflict between user requirements. The service validation
and testing practice contributes to valuable investments by ""Developing test cases
to check that all service components support the minimum viable product or
service"". Ref 4.1.2, tab 4.2",Information security management,"Incorrect. The ‘information security management’ practice does support the
‘valuable investment’ objective, but it does not help to resolve conflicting user
requirements. The purpose of the ‘information security management’ practice is ""to
protect the information needed by the organization to conduct its business"". Ref
Information Security Management Practice Guide 2.1",Risk management,"Incorrect. The ‘risk management’ practice does support the ‘valuable investment’
objective, but it does not help to resolve conflicting user requirements. ""The purpose
of risk management is to ensure that the organization understands and effectively
handles risks"". Ref Risk Management Practice Guide 2.1",4.2.b 
"An organization has a high number of IT changes and is concerned about the speed of deployment. Many changes are initiated without understanding the impact of the workload on the people involved in the changes. 
 
 Which technique for fast development would MOST help to resolve this situation?",Kanban,MCQ,Kanban,"Correct. Kanban would help to visualize and understand the workloads. ""Kanban
is a set of principles, practices, and regular activities aimed at developing and
managing a predictable, rhythmic, and constant flow of work."" Ref 4.2.7",Retrospectives,"Incorrect. Retrospectives would help the organization to understand how well a
sprint was undertaken. As the issue of human workload has already been identified,
retrospectives would not help to resolve it. ""In Agile software development, a
retrospective is a meeting held by a team at the end of an iteration (or ‘sprint’) or
project to discuss what went well, what could be improved, and how to benefit from
the findings in the future."" Ref 4.2.3.1",Infrastructure as code,"Incorrect. ‘Infrastructure as code’ would help to increase the speed of deployment
but would not resolve the issue of the lack of understanding of human workloads.
""Infrastructure as code (IaC) enables faster provisioning of environments,
contributing to faster development and more resilient operations."" Ref 4.2.1",Loosely coupled information system architecture,"Incorrect. Loosely coupled information system architecture would help to
increase the speed of deployment, through limiting the interactions required
between teams, but it would not resolve the issue of the lack of understanding of
human workloads. ""Loosely coupled information system architecture is based on
relatively small, independent components. This architecture enables work to be
done in small, relatively independent, product- or service-based teams and platformbased teams."" Ref 4.2.2",4.3
"A service provider adopted a high-velocity IT approach to developing some of its services six months ago. Updates are now deployed regularly and successfully. However, there is evidence that the number of service failures is increasing. The development teams have suggested revising the Ôdefinition of doneÕ to resolve the issues. 
 
 How can the availability management practice contribute to improving the Ôdefinition of doneÕ?",By ensuring that achievable warranty requirements are negotiated and agreed with customers,MCQ,By ensuring that when releases are moved to the live environment all software components are verified to ensure requirements are met,"Incorrect. It is the ‘deployment management’ practice that should verify
components before moving them to live environments, not the availability
management practice. The deployment management practice contributes to the
resilient operation objective. ""When moving releases to live environments, teams
should verify that deliverables for support are complete: all requirements, user
stories, and tests should be accepted"". Ref 4.3.3, tab 4.16",By ensuring that test activities are developed around an up-to-date Ôdefinition of doneÕ,"Incorrect. The ‘service validation and testing’ practice contribution to ‘definition of
done’ is ""Testing activities can be structured around a definition of done to ensure
that multiple types of tests are conducted"". Ref 4.3.3, tab 4.16",By ensuring that achievable warranty requirements are negotiated and agreed with customers,"Correct. The ‘availability management’ practice ensures that negotiated warranty
requirements can be included in the ‘definition of done’. The ‘availability
management’ practice contributes to the ‘resilient operations’ objective. ""Detailed
warranty requirements for the new or changed service should be negotiated and
agreed with stakeholders"". Ref 4.3.3, tab 4.16","By ensuring that code is understandable, maintainable, and able to support future changes","Incorrect. It is the ‘software development and management’ practice that will
ensure that code is understandable, maintainable, and able to support future
changes, not the ‘availability management’ practice. The software development and
management’ practice contributes to the ‘resilient operations’ objective. ""Software
can be developed (or configured) to meet a definition of done before it is deployed
into live environments, ensuring that code is understandable, maintainable, and
ready to support future changes"". Ref 4.3.3, tab 4.16",4.6.a
"An organization has adopted agile ways of working and is using continuous integration/continuous delivery. The organization's Ôbusiness analysisÕ practice is modelled on waterfall ways of working. There is a linear flow from establishing customer requirements to verifying those requirements during build, test and deployment. 
 
 How should the Ôbusiness analysisÕ practice change to better align itself with the new ways of working?",Combine the business analysis role with other development roles,MCQ,Retain the step of establishing customer requirements but minimize all other activities,"Incorrect. CI/CD automates integration testing and deployment, but it does not
automate business analysis activity. ""Continuous integration is the automation
achieved in the build and code testing process each time the code is committed”.
“Continuous delivery is focused on the process of building and testing new releases
and promoting them to the production environment."" Ref 4.2.5",Establish customer requirements at the start of the engagement with the customer,"Incorrect. ,Business analysis activities should be interwoven throughout the
development period. ""When business analysis is performed by a product team, it is
less project-driven and more a continual activity."" Ref Business Analysis Practice
Guide 2.1",Combine the business analysis role with other development roles,"Correct. Business analysis activities should be embedded within the development
activities. ""When business analysis is performed by a product team, it is less projectdriven and more a continual activity."" Ref Business Analysis Practice Guide 2.1",Make the business analysis activities the responsibility of the business relationship manager,"Incorrect. ""In the agile context, the business analysis practice is less associated
with a specific team or role, and increasingly applied by multi-skilled practitioners
performing such a role as product or service owner."" Ref Business Analysis Practice
Guide 2.1",4.4.c
Which high-velocity IT objective applies to all of the service value chain activities?,Assured conformance,MCQ,Fast development,"Incorrect. ""The fast development objective is mainly achieved by the application
development and infrastructure engineering that takes place as part of the design
and transition and obtain/build value chain activities."" Ref 2.5.1",Valuable investments,"Incorrect. ""The valuable investments objective is mainly achieved by the decisionmaking that occurs as part of the plan value chain activity.” Ref 2.5.1",Assured conformance,"Correct. “The five objectives are closely related to specific value chain activities,
except for assured conformance, that applies to the whole value chain.” Ref 2.5.1",Resilient operations,"Incorrect. ""The resilient operations objective is mainly achieved by running and
maintaining the system as part of the deliver and support value chain activity.” Ref
2.5.1",2.1.b
"An organization wants to make sure that their plans to manage information security incidents will be effective. 
 
 What would be the BEST approach to take to ensure this?",Test the plans regularly by walking through them with the relevant teams,MCQ,Engage a supplier to independently test the plans and recommend how they should be improved,"Incorrect. A supplier may be able to test the plans to some extent, but it is
important that the teams involved in managing security incidents are involved in a
walk through. ""Regularly walking through the plans and procedures, teams discover
flaws and inefficiencies and then update information security plans and controls in
order to reflect findings"". Ref Information Security Management Practice Guide 2.4.3",Use chaos engineering to test the plans by injecting security incidents on a regular basis,"Incorrect. Chaos engineering can be used to find and terminate some instances
of security vulnerabilities, which will help to prevent security incidents, but it will not
be able to fully test and improve plans for detecting and correcting security
incidents. ""Security monkey - Finds and terminates instances of security violations
or vulnerabilities."" ""Regularly walking through the plans and procedures, teams
discover flaws and inefficiencies and then update information security plans and
controls in order to reflect findings"". Ref Information Security Management Practice
Guide 2.4.3",Test the plans regularly by walking through them with the relevant teams,"Correct. ""Testing is therefore a critical part of the overall information security
management and the only way of ensuring that the selected plans and controls are
actually working in practice"". ""Regularly walking through the plans and procedures,
teams discover flaws and inefficiencies and then update information security plans
and controls in order to reflect findings"". Ref Information Security Management
Practice Guide 2.4.3","Add controls to the plans to prevent, detect, and correct security incidents","Incorrect. The question makes it clear that plans have already been designed to
manage information security incidents, and that the organization wants to make sure
these plans will be effective. Designing more controls will not achieve this, it is
important to test the controls that have already been designed to ensure that they
work properly. ""Experience has shown that plans that have not been tested do not
work as intended, if at all."" Ref Information Security Management Practice Guide
2.4.3",4.10.a
